Script_id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc
67,"American, The",10-Sep,9-May,"http://www.imsdb.com//scripts/American,-The.html","raw_Script/American, The.txt"
173,Bodyguard,,Feb-92,http://www.imsdb.com//scripts/Bodyguard.html,raw_Script/Bodyguard.txt
883,Sex and the City,8-May,,http://www.imsdb.com//scripts/Sex-and-the-City.html,raw_Script/Sex and the City.txt
462,Hannah and Her Sisters,,,http://www.imsdb.com//scripts/Hannah-and-Her-Sisters.html,unclean
11,2012,9-Nov,8-Feb,http://www.imsdb.com//scripts/2012.html,raw_Script/2012.txt
715,"Mummy, The",,1999,"http://www.imsdb.com//scripts/Mummy,-The.html","raw_Script/Mummy, The.txt"
1012,Tombstone,,Mar-93,http://www.imsdb.com//scripts/Tombstone.html,unclean
602,Leaving Las Vegas,,Sep-94,http://www.imsdb.com//scripts/Leaving-Las-Vegas.html,unclean
107,Bachelor Party,4-Jun,,http://www.imsdb.com//scripts/Bachelor-Party.html,raw_Script/Bachelor Party.txt
630,Lord of Illusions,,Feb-94,http://www.imsdb.com//scripts/Lord-of-Illusions.html,unclean
21,A Few Good Men,Dec-92,Jul-91,http://www.imsdb.com//scripts/A-Few-Good-Men.html,raw_Script/A Few Good Men.txt
567,Juno,7-Dec,7-Feb,http://www.imsdb.com//scripts/Juno.html,raw_Script/Juno.txt
684,Midnight Cowboy,,1969,http://www.imsdb.com//scripts/Midnight-Cowboy.html,unclean
1023,Tristan and Isolde,6-Jan,,http://www.imsdb.com//scripts/Tristan-and-Isolde.html,raw_Script/Tristan and Isolde.txt
998,Three Kings,,Jun-98,http://www.imsdb.com//scripts/Three-Kings.html,unclean
484,Hellboy,4-Apr,3-Jun,http://www.imsdb.com//scripts/Hellboy.html,raw_Script/Hellboy.txt
1030,True Romance,,,http://www.imsdb.com//scripts/True-Romance.html,unclean
819,Rachel Getting Married,,,http://www.imsdb.com//scripts/Rachel-Getting-Married.html,raw_Script/Rachel Getting Married.txt
133,"Battle of Shaker Heights, The",3-Aug,,"http://www.imsdb.com//scripts/Battle-of-Shaker-Heights,-The.html","raw_Script/Battle of Shaker Heights, The.txt"
306,"Descendants, The",11-Dec,,"http://www.imsdb.com//scripts/Descendants,-The.html","raw_Script/Descendants, The.txt"
277,Cruel Intentions,,Feb-98,http://www.imsdb.com//scripts/Cruel-Intentions.html,unclean
228,Charlie's Angels,,Aug-99,http://www.imsdb.com//scripts/Charlie's-Angels.html,raw_Script/Charlie's Angels.txt
814,Punch-Drunk Love,,,http://www.imsdb.com//scripts/Punch-Drunk-Love.html,unclean
215,Casino,,,http://www.imsdb.com//scripts/Casino.html,unclean
206,Burning Annie,7-Feb,2-Jan,http://www.imsdb.com//scripts/Burning-Annie.html,raw_Script/Burning Annie.txt
1026,Tropic Thunder,8-Aug,,http://www.imsdb.com//scripts/Tropic-Thunder.html,raw_Script/Tropic Thunder.txt
789,Pitch Black,,Mar-98,http://www.imsdb.com//scripts/Pitch-Black.html,unclean
555,Jane Eyre,11-Mar,8-Mar,http://www.imsdb.com//scripts/Jane-Eyre.html,raw_Script/Jane Eyre.txt
928,Spanglish,4-Dec,,http://www.imsdb.com//scripts/Spanglish.html,raw_Script/Spanglish.txt
313,Diner,Mar-82,,http://www.imsdb.com//scripts/Diner.html,raw_Script/Diner.txt
94,"Artist, The",12-Jan,,"http://www.imsdb.com//scripts/Artist,-The.html","raw_Script/Artist, The.txt"
989,Thelma & Louise,,Jun-90,http://www.imsdb.com//scripts/Thelma-&-Louise.html,unclean
307,Despicable Me 2,13-Jul,,http://www.imsdb.com//scripts/Despicable-Me-2.html,raw_Script/Despicable Me 2.txt
622,"Little Mermaid, The",,1989,"http://www.imsdb.com//scripts/Little-Mermaid,-The.html","raw_Script/Little Mermaid, The.txt"
858,Rush Hour 2,,,http://www.imsdb.com//scripts/Rush-Hour-2.html,unclean
1052,Very Bad Things,,Sep-97,http://www.imsdb.com//scripts/Very-Bad-Things.html,raw_Script/Very Bad Things.txt
25,Absolute Power,,May-96,http://www.imsdb.com//scripts/Absolute-Power.html,raw_Script/Absolute Power.txt
260,Copycat,,,http://www.imsdb.com//scripts/Copycat.html,unclean
933,Sphere,,,http://www.imsdb.com//scripts/Sphere.html,unclean
553,Jacob's Ladder,,,http://www.imsdb.com//scripts/Jacob's-Ladder.html,unclean
510,How to Lose Friends & Alienate People,8-Oct,7-Sep,http://www.imsdb.com//scripts/How-to-Lose-Friends-&-Alienate-People.html,raw_Script/How to Lose Friends & Alienate People.txt
35,Agnes of God,,,http://www.imsdb.com//scripts/Agnes-of-God.html,raw_Script/Agnes of God.txt
744,No Strings Attached,11-Jan,,http://www.imsdb.com//scripts/No-Strings-Attached.html,raw_Script/No Strings Attached.txt
590,"Ladykillers, The",4-Mar,,"http://www.imsdb.com//scripts/Ladykillers,-The.html","raw_Script/Ladykillers, The.txt"
200,Bruce Almighty,,2-Jul,http://www.imsdb.com//scripts/Bruce-Almighty.html,raw_Script/Bruce Almighty.txt
740,"Nines, The",7-Aug,6-Nov,"http://www.imsdb.com//scripts/Nines,-The.html","raw_Script/Nines, The.txt"
685,Midnight Express,Oct-78,Jun-77,http://www.imsdb.com//scripts/Midnight-Express.html,raw_Script/Midnight Express.txt
936,Star Trek,9-May,7-Nov,http://www.imsdb.com//scripts/Star-Trek.html,raw_Script/Star Trek.txt
583,Klute,,,http://www.imsdb.com//scripts/Klute.html,unclean
572,Kalifornia,,,http://www.imsdb.com//scripts/Kalifornia.html,raw_Script/Kalifornia.txt
450,Gremlins,Jun-84,Apr-82,http://www.imsdb.com//scripts/Gremlins.html,raw_Script/Gremlins.txt
278,Crying Game,,,http://www.imsdb.com//scripts/Crying-Game.html,unclean
136,Bean,,,http://www.imsdb.com//scripts/Bean.html,raw_Script/Bean.txt
402,From Dusk Till Dawn,,,http://www.imsdb.com//scripts/From-Dusk-Till-Dawn.html,unclean
269,Crazylove,5-Oct,4-Mar,http://www.imsdb.com//scripts/Crazylove.html,raw_Script/Crazylove.txt
531,Indiana Jones IV,,Feb-95,http://www.imsdb.com//scripts/Indiana-Jones-IV.html,unclean
916,Smokin' Aces,7-Jan,5-Apr,http://www.imsdb.com//scripts/Smokin'-Aces.html,raw_Script/Smokin' Aces.txt
869,Scary Movie 2,,,http://www.imsdb.com//scripts/Scary-Movie-2.html,unclean
495,Highlander,,1986,http://www.imsdb.com//scripts/Highlander.html,raw_Script/Highlander.txt
54,Amelia,9-Oct,7-Sep,http://www.imsdb.com//scripts/Amelia.html,raw_Script/Amelia.txt
493,Hesher,11-May,8-Jul,http://www.imsdb.com//scripts/Hesher.html,raw_Script/Hesher.txt
331,Dumb and Dumber,,Nov-93,http://www.imsdb.com//scripts/Dumb-and-Dumber.html,raw_Script/Dumb and Dumber.txt
203,Buried,10-Sep,,http://www.imsdb.com//scripts/Buried.html,raw_Script/Buried.txt
8,17 Again,9-Apr,7-Oct,http://www.imsdb.com//scripts/17-Again.html,raw_Script/17 Again.txt
225,Changeling,8-Oct,,http://www.imsdb.com//scripts/Changeling.html,raw_Script/Changeling.txt
480,Heavy Metal,,Jul-80,http://www.imsdb.com//scripts/Heavy-Metal.html,unclean
738,Nightmare on Elm Street: The Final Chapter,,,http://www.imsdb.com//scripts/Nightmare-on-Elm-Street-The-Final-Chapter.html,unclean
969,Suspect Zero,4-Aug,1-Nov,http://www.imsdb.com//scripts/Suspect-Zero.html,raw_Script/Suspect Zero.txt
31,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",,Mar-83,"http://www.imsdb.com//scripts/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html","raw_Script/Adventures of Buckaroo Banzai Across the Eighth Dimension, The.txt"
629,Looper,12-Sep,,http://www.imsdb.com//scripts/Looper.html,raw_Script/Looper.txt
746,Nurse Betty,,Mar-99,http://www.imsdb.com//scripts/Nurse-Betty.html,unclean
445,Gran Torino,9-Jan,,http://www.imsdb.com//scripts/Gran-Torino.html,raw_Script/Gran Torino.txt
285,"Dark Knight Rises, The",12-Jul,,"http://www.imsdb.com//scripts/Dark-Knight-Rises,-The.html","raw_Script/Dark Knight Rises, The.txt"
4,12 Monkeys,,Jun-94,http://www.imsdb.com//scripts/12-Monkeys.html,unclean
730,Next Friday,,,http://www.imsdb.com//scripts/Next-Friday.html,unclean
373,Fear and Loathing in Las Vegas,,,http://www.imsdb.com//scripts/Fear-and-Loathing-in-Las-Vegas.html,unclean
999,Three Kings (Spoils of War),,Jul-95,http://www.imsdb.com//scripts/Three-Kings-(Spoils-of-War).html,unclean
1086,Wild Things,,Jan-97,http://www.imsdb.com//scripts/Wild-Things.html,unclean
797,"Power of One, The",,Feb-90,"http://www.imsdb.com//scripts/Power-of-One,-The.html","raw_Script/Power of One, The.txt"
625,"Lock, Stock and Two Smoking Barrels",,1998,"http://www.imsdb.com//scripts/Lock,-Stock-and-Two-Smoking-Barrels.html","raw_Script/Lock, Stock and Two Smoking Barrels.txt"
905,Silver Linings Playbook,12-Dec,,http://www.imsdb.com//scripts/Silver-Linings-Playbook.html,raw_Script/Silver Linings Playbook.txt
86,Arbitrage,12-Sep,11-Apr,http://www.imsdb.com//scripts/Arbitrage.html,raw_Script/Arbitrage.txt
612,Life As A House,,,http://www.imsdb.com//scripts/Life-As-A-House.html,unclean
192,"Breakfast Club, The",,,"http://www.imsdb.com//scripts/Breakfast-Club,-The.html",unclean
838,Return of the Apes,,,http://www.imsdb.com//scripts/Return-of-the-Apes.html,unclean
675,Meet Joe Black,,1998,http://www.imsdb.com//scripts/Meet-Joe-Black.html,raw_Script/Meet Joe Black.txt
914,Slumdog Millionaire,9-Jan,7-Nov,http://www.imsdb.com//scripts/Slumdog-Millionaire.html,raw_Script/Slumdog Millionaire.txt
335,Eastern Promises,7-Sep,,http://www.imsdb.com//scripts/Eastern-Promises.html,raw_Script/Eastern Promises.txt
663,Martha Marcy May Marlene,11-Oct,,http://www.imsdb.com//scripts/Martha-Marcy-May-Marlene.html,raw_Script/Martha Marcy May Marlene.txt
201,Buffy the Vampire Slayer,,,http://www.imsdb.com//scripts/Buffy-the-Vampire-Slayer.html,unclean
179,Boondock Saints 2: All Saints Day,9-Nov,7-Sep,http://www.imsdb.com//scripts/Boondock-Saints-2-All-Saints-Day.html,raw_Script/Boondock Saints 2: All Saints Day.txt
