Script_Id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc,rt_id,rt_title,rt_year,rt_critics_score,rt_audience_score
268,"Crazy, Stupid, Love",11-Jul,10-Feb,"http://www.imsdb.com//scripts/Crazy,-Stupid,-Love.html","raw_Script/Crazy, Stupid, Love.txt",771203531.0,"Crazy, Stupid, Love.",2011.0,78.0,77.0
269,Crazylove,5-Oct,4-Mar,http://www.imsdb.com//scripts/Crazylove.html,raw_Script/Crazylove.txt,760382751.0,Crazylove,2005.0,-1.0,55.0
270,Creation,10-Jan,,http://www.imsdb.com//scripts/Creation.html,raw_Script/Creation.txt,770800781.0,Creation,2009.0,45.0,49.0
271,Crime Spree,3-Sep,Mar-96,http://www.imsdb.com//scripts/Crime-Spree.html,raw_Script/Crime Spree.txt,14794.0,Crime Spree,2003.0,43.0,57.0
272,"Crouching Tiger, Hidden Dragon",,,"http://www.imsdb.com//scripts/Crouching-Tiger,-Hidden-Dragon.html","raw_Script/Crouching Tiger, Hidden Dragon.txt",10267.0,"Crouching Tiger, Hidden Dragon",2001.0,97.0,86.0
273,Croupier,Apr-00,,http://www.imsdb.com//scripts/Croupier.html,raw_Script/Croupier.txt,17214.0,Croupier,1998.0,98.0,80.0
276,"Crow  City of Angels, The",Aug-96,,"http://www.imsdb.com//scripts/Crow-City-of-Angels,-The.html","raw_Script/Crow  City of Angels, The.txt",16817.0,The Crow: City of Angels,1996.0,12.0,42.0
280,"Curious Case of Benjamin Button, The",8-Dec,7-Oct,"http://www.imsdb.com//scripts/Curious-Case-of-Benjamin-Button,-The.html","raw_Script/Curious Case of Benjamin Button, The.txt",770669386.0,The Curious Case of Benjamin Button,2008.0,73.0,80.0
281,Custody,,,http://www.imsdb.com//scripts/Custody.html,raw_Script/Custody.txt,770800386.0,Custody,2007.0,-1.0,48.0
282,"Damned United, The",9-Oct,,"http://www.imsdb.com//scripts/Damned-United,-The.html","raw_Script/Damned United, The.txt",770802240.0,The Damned United,2009.0,94.0,85.0
283,Dances with Wolves,Nov-90,May-89,http://www.imsdb.com//scripts/Dances-with-Wolves.html,raw_Script/Dances with Wolves.txt,12772.0,Dances With Wolves,1990.0,81.0,87.0
285,"Dark Knight Rises, The",12-Jul,,"http://www.imsdb.com//scripts/Dark-Knight-Rises,-The.html","raw_Script/Dark Knight Rises, The.txt",771041731.0,The Dark Knight Rises,2012.0,88.0,90.0
288,Darkman,Aug-90,Feb-89,http://www.imsdb.com//scripts/Darkman.html,raw_Script/Darkman.txt,16857.0,Darkman,1990.0,80.0,58.0
289,Date Night,10-Apr,8-Jun,http://www.imsdb.com//scripts/Date-Night.html,raw_Script/Date Night.txt,770808107.0,Date Night,2010.0,67.0,55.0
290,Dave Barry's Complete Guide to Guys,6-May,4-Feb,http://www.imsdb.com//scripts/Dave-Barry's-Complete-Guide-to-Guys.html,raw_Script/Dave Barry's Complete Guide to Guys.txt,770678588.0,Dave Barry's Complete Guide to Guys,2005.0,-1.0,22.0
291,Dawn of the Dead,,1977,http://www.imsdb.com//scripts/Dawn-of-the-Dead.html,raw_Script/Dawn of the Dead.txt,17051.0,Dawn of the Dead,2004.0,75.0,77.0
292,Day of the Dead,,1985,http://www.imsdb.com//scripts/Day-of-the-Dead.html,raw_Script/Day of the Dead.txt,17930.0,Day of the Dead,1985.0,82.0,75.0
295,Days of Heaven,,Jun-76,http://www.imsdb.com//scripts/Days-of-Heaven.html,raw_Script/Days of Heaven.txt,10859.0,Days of Heaven,1978.0,93.0,89.0
297,Death at a Funeral,10-Apr,9-Feb,http://www.imsdb.com//scripts/Death-at-a-Funeral.html,raw_Script/Death at a Funeral.txt,770669823.0,Death at a Funeral,2007.0,61.0,79.0
298,Death to Smoochy,,Mar-97,http://www.imsdb.com//scripts/Death-to-Smoochy.html,raw_Script/Death to Smoochy.txt,13722.0,Death to Smoochy,2002.0,42.0,67.0
299,"Debt, The",11-Aug,,"http://www.imsdb.com//scripts/Debt,-The.html","raw_Script/Debt, The.txt",770815579.0,The Debt,2011.0,77.0,66.0
300,Deception,8-Apr,5-Sep,http://www.imsdb.com//scripts/Deception.html,raw_Script/Deception.txt,770680663.0,Deception,2008.0,14.0,31.0
301,Deep Cover,Apr-92,,http://www.imsdb.com//scripts/Deep-Cover.html,raw_Script/Deep Cover.txt,14730.0,Deep Cover,1992.0,85.0,77.0
304,Defiance,9-Jan,,http://www.imsdb.com//scripts/Defiance.html,raw_Script/Defiance.txt,770682436.0,Defiance,2008.0,57.0,73.0
305,"Departed, The",6-Oct,,"http://www.imsdb.com//scripts/Departed,-The.html","raw_Script/Departed, The.txt",314387087.0,The Departed,2006.0,92.0,94.0
306,"Descendants, The",11-Dec,,"http://www.imsdb.com//scripts/Descendants,-The.html","raw_Script/Descendants, The.txt",771236985.0,The Descendants,2011.0,89.0,79.0
