,Script_Id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Meta_Link
173,293,"Day the Clown Cried, The",,,"http://www.imsdb.com//scripts/Day-the-Clown-Cried,-The.html","http://www.imsdb.com/Movie%20Scripts/Day%20the%20Clown%20Cried,%20The%20Script.html"
174,342,Election,,Jul-97,http://www.imsdb.com//scripts/Election.html,http://www.imsdb.com/Movie%20Scripts/Election%20Script.html
175,76,Annie Hall,,,http://www.imsdb.com//scripts/Annie-Hall.html,http://www.imsdb.com/Movie%20Scripts/Annie%20Hall%20Script.html
176,811,Psycho,,Dec-59,http://www.imsdb.com//scripts/Psycho.html,http://www.imsdb.com/Movie%20Scripts/Psycho%20Script.html
177,425,Ghost Ship,,,http://www.imsdb.com//scripts/Ghost-Ship.html,http://www.imsdb.com/Movie%20Scripts/Ghost%20Ship%20Script.html
178,397,Frequency,,,http://www.imsdb.com//scripts/Frequency.html,http://www.imsdb.com/Movie%20Scripts/Frequency%20Script.html
179,1092,Withnail and I,,,http://www.imsdb.com//scripts/Withnail-and-I.html,http://www.imsdb.com/Movie%20Scripts/Withnail%20and%20I%20Script.html
180,77,"Anniversary Party, The",,,"http://www.imsdb.com//scripts/Anniversary-Party,-The.html","http://www.imsdb.com/Movie%20Scripts/Anniversary%20Party,%20The%20Script.html"
181,388,Forrest Gump,,,http://www.imsdb.com//scripts/Forrest-Gump.html,http://www.imsdb.com/Movie%20Scripts/Forrest%20Gump%20Script.html
182,370,Fargo,,,http://www.imsdb.com//scripts/Fargo.html,http://www.imsdb.com/Movie%20Scripts/Fargo%20Script.html
183,521,"Ice Storm, The",,Jan-96,"http://www.imsdb.com//scripts/Ice-Storm,-The.html","http://www.imsdb.com/Movie%20Scripts/Ice%20Storm,%20The%20Script.html"
184,725,Never Been Kissed,,Jun-98,http://www.imsdb.com//scripts/Never-Been-Kissed.html,http://www.imsdb.com/Movie%20Scripts/Never%20Been%20Kissed%20Script.html
185,1019,Training Day,,1-Mar,http://www.imsdb.com//scripts/Training-Day.html,http://www.imsdb.com/Movie%20Scripts/Training%20Day%20Script.html
186,27,Ace Ventura: Pet Detective,,,http://www.imsdb.com//scripts/Ace-Ventura-Pet-Detective.html,http://www.imsdb.com/Movie%20Scripts/Ace%20Ventura:%20Pet%20Detective%20Script.html
187,627,Lone Star,,,http://www.imsdb.com//scripts/Lone-Star.html,http://www.imsdb.com/Movie%20Scripts/Lone%20Star%20Script.html
188,351,Erin Brockovich,,Mar-99,http://www.imsdb.com//scripts/Erin-Brockovich.html,http://www.imsdb.com/Movie%20Scripts/Erin%20Brockovich%20Script.html
189,971,"Sweet Hereafter, The",,,"http://www.imsdb.com//scripts/Sweet-Hereafter,-The.html","http://www.imsdb.com/Movie%20Scripts/Sweet%20Hereafter,%20The%20Script.html"
190,222,"Cell, The",,,"http://www.imsdb.com//scripts/Cell,-The.html","http://www.imsdb.com/Movie%20Scripts/Cell,%20The%20Script.html"
191,940,Star Trek: Nemesis,,,http://www.imsdb.com//scripts/Star-Trek-Nemesis.html,http://www.imsdb.com/Movie%20Scripts/Star%20Trek:%20Nemesis%20Script.html
192,341,El Mariachi,Feb-93,,http://www.imsdb.com//scripts/El-Mariachi.html,http://www.imsdb.com/Movie%20Scripts/El%20Mariachi%20Script.html
193,426,Ghost World,,,http://www.imsdb.com//scripts/Ghost-World.html,http://www.imsdb.com/Movie%20Scripts/Ghost%20World%20Script.html
194,328,Drop Dead Gorgeous,,,http://www.imsdb.com//scripts/Drop-Dead-Gorgeous.html,http://www.imsdb.com/Movie%20Scripts/Drop%20Dead%20Gorgeous%20Script.html
195,571,Kafka,,,http://www.imsdb.com//scripts/Kafka.html,http://www.imsdb.com/Movie%20Scripts/Kafka%20Script.html
196,556,Jason X,,,http://www.imsdb.com//scripts/Jason-X.html,http://www.imsdb.com/Movie%20Scripts/Jason%20X%20Script.html
197,1095,Wonder Boys,,,http://www.imsdb.com//scripts/Wonder-Boys.html,http://www.imsdb.com/Movie%20Scripts/Wonder%20Boys%20Script.html
198,657,Manhunter,,Jul-84,http://www.imsdb.com//scripts/Manhunter.html,http://www.imsdb.com/Movie%20Scripts/Manhunter%20Script.html
199,330,Duck Soup,,,http://www.imsdb.com//scripts/Duck-Soup.html,http://www.imsdb.com/Movie%20Scripts/Duck%20Soup%20Script.html
