Script_Id,Script_Title,rt_title,Movie_Release_Date,Script_Date,rt_id,rt_year,rt_critics_score,rt_audience_score,Clean_Script_Title,title_match
716,Music of the Heart,Music of the Heart,10/1/1999,1/1/1999,10485.0,1999.0,63.0,73.0,Music of the Heart,1
717,My Best Friend's Wedding,My Best Friend's Wedding,,6/19/1905,12712.0,1997.0,71.0,74.0,My Best Friend's Wedding,1
718,My Girl,My Girl,11/1/1991,,11521.0,1991.0,50.0,78.0,My Girl,1
720,My Week with Marilyn,My Week with Marilyn,12/11/2014,,771219504.0,2011.0,84.0,71.0,My Week with Marilyn,1
727,New York Minute,New York Minute,5/4/2014,2/3/2014,11558.0,2004.0,11.0,47.0,New York Minute,1
728,Newsies,Newsies,,6/1/1991,10068.0,1992.0,40.0,89.0,Newsies,1
729,Next,Next,4/7/2014,5/4/2014,611219283.0,2007.0,28.0,54.0,Next,1
731,"Next Three Days, The",The Next Three Days,11/10/2014,8/9/2014,770873457.0,2010.0,52.0,66.0,The Next Three Days,1
732,Nick of Time,Nick of Time,11/1/1995,3/1/1995,13222.0,1995.0,29.0,48.0,Nick of Time,1
734,Nightbreed,Nightbreed,2/1/1990,,13440.0,1990.0,38.0,63.0,Nightbreed,1
735,"Nightmare Before Christmas, The",The Nightmare Before Christmas,,8/1/1991,12490.0,1993.0,94.0,92.0,The Nightmare Before Christmas,1
739,Nine,Nine,12/9/2014,11/9/2014,770783485.0,2009.0,37.0,37.0,Nine,1
740,"Nines, The",The Nines,8/7/2014,11/6/2014,528361347.0,2006.0,64.0,62.0,The Nines,1
741,Ninja Assassin,Ninja Assassin,11/9/2014,6/8/2014,770780587.0,2009.0,26.0,54.0,Ninja Assassin,1
742,Ninotchka,Ninotchka,11/1/1939,,18487.0,1939.0,97.0,89.0,Ninotchka,1
744,No Strings Attached,No Strings Attached,1/11/2014,,771225438.0,2011.0,49.0,52.0,No Strings Attached,1
745,Notting Hill,Notting Hill,,6/21/1905,10110.0,1999.0,83.0,79.0,Notting Hill,1
748,Oblivion,Oblivion,4/13/2014,3/11/2014,771245728.0,2013.0,53.0,61.0,Oblivion,1
749,Observe and Report,Observe and Report,4/9/2014,,770801896.0,2009.0,51.0,37.0,Observe and Report,1
750,Obsessed,Obsessed,4/9/2014,10/7/2014,770885991.0,1988.0,-1.0,0.0,Obsessed,1
751,Ocean's Eleven,Ocean's Eleven,12/1/2014,5/1/2014,10182.0,2001.0,82.0,79.0,Ocean's Eleven,1
752,Ocean's Twelve,Ocean's Twelve,12/4/2014,,10049.0,2004.0,55.0,61.0,Ocean's Twelve,1
753,Office Space,Office Space,,12/1/1997,13020.0,1999.0,79.0,93.0,Office Space,1
757,Only God Forgives,Only God Forgives,7/13/2014,,771303322.0,2013.0,39.0,38.0,Only God Forgives,1
758,Ordinary People,Ordinary People,9/1/1980,,13029.0,1980.0,92.0,88.0,Ordinary People,1
760,Orphan,Orphan,7/9/2014,2/7/2014,770801898.0,2009.0,55.0,64.0,Orphan,1
761,"Other Boleyn Girl, The",The Other Boleyn Girl,2/8/2014,2/6/2014,770672985.0,2008.0,42.0,62.0,The Other Boleyn Girl,1
764,"Pacifier, The",The Pacifier,3/5/2014,3/4/2014,27.0,2005.0,20.0,60.0,The Pacifier,1
765,Pandorum,Pandorum,9/9/2014,,770799661.0,2009.0,27.0,48.0,Pandorum,1
767,ParaNorman,ParaNorman,8/12/2014,,771242305.0,2012.0,87.0,72.0,ParaNorman,1
768,Pariah,Pariah,12/11/2014,,771228631.0,2011.0,95.0,82.0,Pariah,1
771,Paul,Paul,3/11/2014,,770788767.0,2011.0,71.0,61.0,Paul,1
773,Peeping Tom,Peeping Tom,5/1/1960,,19244.0,1960.0,95.0,86.0,Peeping Tom,1
